Epoch,Q2,Dev,Loss,Loss_Dev
0,-2.2614,0.0631,0.031,0.0006
5,-0.0313,0.581,0.0099,0.0056
10,0.3948,0.5442,0.0059,0.0052
15,0.2284,0.4598,0.0075,0.0044
20,-0.0727,0.7213,0.0103,0.007
25,0.2538,0.6581,0.0072,0.0063
30,0.3905,0.5339,0.0059,0.0051
35,0.2334,0.0382,0.0074,0.0004
40,-0.1857,0.3425,0.0114,0.0033
45,0.2296,0.462,0.0074,0.0045
50,0.2182,0.625,0.0076,0.006
55,0.2298,0.6471,0.0074,0.0062
60,0.6394,0.3707,0.0035,0.0036
65,0.3974,0.5472,0.0058,0.0053
70,0.5193,0.3503,0.0046,0.0034
75,0.2204,0.4706,0.0075,0.0045
80,0.2377,0.6601,0.0074,0.0064
85,0.0709,0.4971,0.009,0.0048
90,0.3907,0.5417,0.0059,0.0052
95,0.5129,0.3335,0.0047,0.0032
100,0.5262,0.3561,0.0046,0.0034
